"app_categories_uuid","name","description"
"3bc326f3-6992-4d69-83a4-7ceb03b4e6c4",Softwares,Categoria de softwares para diferentes finalidades
"2f933d40-314e-436d-ae09-1afa8537ef7a",Serviços,Serviços especializados para empresas e profissionais
eb1fec79-c338-4cfa-ae51-685c89670d53,Educação,"Cursos, treinamentos e certificações"
"8673e071-1348-431a-b2d6-068573eb48eb",Tecnologias,Soluções de diferente tipos fiscais
"3d93e7e7-7b41-4928-bbce-78d53eb67f40",Conteúdo,"Blog, e outros conteudos"
"54703a28-499a-4e9a-95ee-ec81af19b664",Projetos,Projetos de leis de incentivo
